"IndID","weeks_date","status","sex","birth_date","birth_year","last_date","death_year","death_month","season","hs_8km_natal","hs_8km_final","nterr_buffer50_first","area_buffer50_first","nterr_dens_buffer50_first","nterr_buffer50_last","area_buffer50_last","nterr_dens_buffer50_last"
28,109,0,"m",2015-05-01,2015,2017-06-06,2017,6,"Summer",0.378715698242187,0.347639617919922,7,7850.39343644169,7.00319950623277,15,7850.39343644149,15.0068560847849
29,44,0,"m",2015-05-01,2015,2016-03-06,2015,3,"Winter",0.548160095214844,0.565533813476563,8,7850.39343644156,8.00365657855187,8,7850.39343644143,8.003656578552
30,88,0,"m",2016-05-01,2016,2018-01-07,2017,1,"Winter",0.459847900390625,0.313065063476562,10,7850.39343644152,10.0045707231899,7,7850.39343644166,7.00319950623279
31,49,1,"m",2015-05-01,2015,2016-04-09,2015,4,"Winter",0.411019439697266,0.411019439697266,8,7850.3934364417,8.00365657855172,8,7850.3934364417,8.00365657855172
32,56,0,"f",2015-05-01,2015,2016-05-27,2016,5,"Summer",0.430847869873047,0.430847869873047,8,7850.39343644173,8.00365657855169,11,7850.39343644173,11.0050277955086
33,7,0,"f",2016-05-01,2016,2016-06-20,2016,6,"Summer",0.337049560546875,0.337073150634766,10,7850.39343644156,10.0045707231898,10,7850.3934364415,10.0045707231899
34,55,0,"f",2015-05-01,2015,2016-05-20,2016,5,"Summer",0.404474487304687,0.404474487304687,8,7850.39343644163,8.00365657855179,12,7850.39343644163,12.0054848678277
35,44,1,"f",2017-05-01,2017,2018-03-06,2017,3,"Winter",0.378715698242187,0.344955078125,14,7850.39343644169,14.0063990124655,15,7850.39343644162,15.0068560847846
36,54,1,"m",2015-05-01,2015,2016-05-18,2016,5,"Summer",0.448219970703125,0.312925628662109,8,7850.39343644164,8.00365657855178,12,7850.39343644161,12.0054848678277
37,66,1,"f",2015-05-01,2015,2016-08-06,2016,8,"Summer",0.378715698242187,0.353562957763672,7,7850.39343644169,7.00319950623277,11,7850.39343644163,11.0050277955087
38,62,1,"m",2016-05-01,2016,2017-07-09,2017,7,"Summer",0.337049560546875,0.335689422607422,10,7850.39343644156,10.0045707231898,0,5762.59505345643,0
39,135,1,"m",2015-05-01,2015,2017-12-01,2017,12,"Winter",0.356144683837891,0.364796661376953,1,6495.47674334878,1.20914629430654,13,7850.39343644168,13.0059419401466
40,94,0,"f",2016-05-01,2016,2018-02-23,2017,2,"Winter",0.446076446533203,0.259732971191406,9,7850.39343644145,9.00411365087097,2,7151.95018971018,2.19631888523898
41,288,0,"f",2015-05-01,2015,2020-11-09,2020,11,"Winter",0.548160095214844,0.416361602783203,8,7850.39343644156,8.00365657855187,18,7850.39343644145,18.008227301742
42,49,1,"m",2016-05-01,2016,2017-04-11,2016,4,"Winter",0.548160095214844,0.227573806762695,12,7850.39343644156,12.0054848678278,1,7850.39343644169,1.00045707231897
43,77,1,"m",2015-05-01,2015,2016-10-26,2016,10,"Summer",0.356144683837891,0.335810546875,1,6495.47674334878,1.20914629430654,1,6864.16624077741,1.14420038187842
44,30,1,"f",2016-05-01,2016,2016-11-29,2016,11,"Winter",0.548160095214844,0.520179626464844,12,7850.39343644156,12.0054848678278,12,7850.39343644167,12.0054848678276
45,179,0,"m",2016-05-01,2016,2019-10-12,2019,10,"Summer",0.428648132324219,0.231762664794922,9,7850.39343644165,9.00411365087075,3,6143.70643772859,3.8351352136927
46,61,0,"m",2016-05-01,2016,2017-07-05,2017,7,"Summer",0.428648132324219,0.416606628417969,9,7850.39343644165,9.00411365087075,13,7850.39343644177,13.0059419401464
47,44,0,"f",2016-05-01,2016,2017-03-05,2016,3,"Winter",0.428648132324219,0.424706268310547,9,7850.39343644165,9.00411365087075,9,7850.39343644154,9.00411365087087
48,162,1,"f",2016-05-01,2016,2019-06-15,2019,6,"Summer",0.428648132324219,0.326264129638672,9,7850.39343644165,9.00411365087075,15,7850.39343644157,15.0068560847847
49,44,0,"m",2016-05-01,2016,2017-03-11,2016,3,"Winter",0.459847900390625,0.454444030761719,10,7850.39343644152,10.0045707231899,10,7850.3934364417,10.0045707231897
50,44,1,"m",2017-05-01,2017,2018-03-11,2017,3,"Winter",0.234408676147461,0.234408676147461,1,7850.39343644178,1.00045707231896,1,7850.39343644178,1.00045707231896
51,42,1,"m",2016-05-01,2016,2017-02-22,2016,2,"Winter",0.428648132324219,0.377440185546875,9,7850.39343644165,9.00411365087075,9,7850.39343644152,9.00411365087089
52,50,0,"m",2016-05-01,2016,2017-04-21,2016,4,"Winter",0.548160095214844,0.329893859863281,12,7850.39343644156,12.0054848678278,12,7850.39343644167,12.0054848678276
53,72,1,"m",2016-05-01,2016,2017-09-21,2017,9,"Summer",0.480482727050781,0.339054443359375,7,7850.3934364417,7.00319950623276,9,7850.39343644158,9.00411365087083
54,248,0,"m",2016-05-01,2016,2021-02-01,2020,2,"Winter",0.548160095214844,0.340401092529297,12,7850.39343644156,12.0054848678278,20,7850.39343644155,20.0091414463797
55,48,0,"m",2016-05-01,2016,2017-04-02,2016,4,"Winter",0.337049560546875,0.340005828857422,10,7850.39343644156,10.0045707231898,10,7850.39343644164,10.0045707231897
56,233,0,"f",2016-05-01,2016,2020-10-21,2020,10,"Summer",0.298793273925781,0.289857940673828,6,7850.3934364415,6.00274243391395,19,7850.39343644137,19.0086843740611
57,43,0,"f",2016-05-01,2016,2017-03-03,2016,3,"Winter",0.548160095214844,0.312599670410156,12,7850.39343644156,12.0054848678278,8,7850.39343644169,8.00365657855173
58,276,0,"f",2016-05-01,2016,2021-08-15,2021,8,"Summer",0.448219970703125,0.449512878417969,11,7850.39343644164,11.0050277955087,20,7850.39343644161,20.0091414463795
59,224,0,"f",2016-05-01,2016,2020-08-21,2020,8,"Summer",0.291335083007813,0.340897796630859,9,7850.39343644163,9.00411365087076,15,7850.39343644153,15.0068560847848
60,38,0,"m",2016-05-01,2016,2017-01-27,2016,1,"Winter",0.459847900390625,0.443608581542969,10,7850.39343644152,10.0045707231899,10,7850.39343644151,10.0045707231899
61,35,0,"f",2016-05-01,2016,2017-01-02,2016,1,"Winter",0.459847900390625,0.440884033203125,10,7850.39343644152,10.0045707231899,10,7850.39343644159,10.0045707231898
62,24,0,"f",2016-05-01,2016,2016-10-17,2016,10,"Summer",0.448219970703125,0.446120727539063,11,7850.39343644164,11.0050277955087,11,7850.39343644155,11.0050277955088
63,141,1,"m",2016-05-01,2016,2019-01-18,2018,1,"Winter",0.291335083007813,0.35632763671875,9,7850.39343644163,9.00411365087076,18,7850.39343644147,18.0082273017419
64,14,1,"m",2017-05-01,2017,2017-08-08,2017,8,"Summer",0.448219970703125,0.426994049072266,14,7850.39343644164,14.0063990124656,14,7850.39343644164,14.0063990124656
65,14,1,"m",2017-05-01,2017,2017-08-08,2017,8,"Summer",0.448219970703125,0.427284790039063,14,7850.39343644164,14.0063990124656,14,7850.39343644158,14.0063990124657
66,48,0,"f",2017-05-01,2017,2018-04-07,2017,4,"Winter",0.4090234375,0.440078704833984,13,7850.39343644151,13.0059419401469,7,7850.39343644165,7.0031995062328
67,103,1,"f",2016-05-01,2016,2018-04-27,2017,4,"Winter",0.378715698242187,0.423415710449219,10,7850.39343644169,10.0045707231897,16,7850.39343644167,16.0073131571035
68,77,1,"m",2017-05-01,2017,2018-10-22,2018,10,"Summer",0.448219970703125,0.410821868896484,14,7850.39343644164,14.0063990124656,15,7850.39343644156,15.0068560847847
69,93,1,"m",2016-05-01,2016,2018-02-15,2017,2,"Winter",0.459847900390625,0.178019180297852,10,7850.39343644152,10.0045707231899,10,7850.39343644165,10.0045707231897
70,82,0,"f",2016-05-01,2016,2017-11-30,2017,11,"Winter",0.459847900390625,0.331263000488281,10,7850.39343644152,10.0045707231899,13,7850.39343644163,13.0059419401467
71,110,0,"f",2016-05-01,2016,2018-06-13,2018,6,"Summer",0.337049560546875,0.307839202880859,10,7850.39343644156,10.0045707231898,16,7850.39343644158,16.0073131571037
72,38,1,"m",2017-05-01,2017,2018-01-24,2017,1,"Winter",0.234408676147461,0.251640747070312,1,7850.39343644178,1.00045707231896,1,7850.39343644156,1.00045707231898
73,239,0,"m",2017-05-01,2017,2021-12-04,2021,12,"Winter",0.4090234375,0.408499389648438,13,7850.39343644151,13.0059419401469,22,7850.39343644159,22.0100555910175
74,20,0,"f",2017-05-01,2017,2017-09-20,2017,9,"Summer",0.4090234375,0.407615844726562,13,7850.39343644151,13.0059419401469,13,7850.39343644173,13.0059419401465
75,74,1,"m",2016-05-01,2016,2017-10-05,2017,10,"Summer",0.337307281494141,0.337307281494141,8,7850.39343644147,8.00365657855195,12,7850.39343644147,12.0054848678279
76,309,0,"m",2016-05-01,2016,2022-04-05,2021,4,"Winter",0.337049560546875,0.388458648681641,10,7850.39343644156,10.0045707231898,0,7082.20421612237,0
77,91,1,"f",2017-05-01,2017,2019-02-01,2018,2,"Winter",0.459847900390625,0.205878341674805,11,7850.39343644152,11.0050277955089,11,7850.39343644156,11.0050277955088
78,38,1,"f",2017-05-01,2017,2018-01-22,2017,1,"Winter",0.440198120117188,0.187214141845703,11,7850.39343644151,11.0050277955089,9,7850.39343644165,9.00411365087074
79,87,1,"f",2016-05-01,2016,2018-01-02,2017,1,"Winter",0.291335083007813,0.284068023681641,9,7850.39343644163,9.00411365087076,12,7850.39343644152,12.0054848678279
80,87,1,"f",2016-05-01,2016,2018-01-03,2017,1,"Winter",0.548160095214844,0.277817321777344,12,7850.39343644156,12.0054848678278,7,7850.39343644167,7.00319950623278
81,232,0,"f",2017-05-01,2017,2021-10-15,2021,10,"Summer",0.4090234375,0.287973236083984,13,7850.39343644151,13.0059419401469,3,6063.78987084603,3.88567964981875
82,48,1,"m",2017-05-01,2017,2018-04-04,2017,4,"Winter",0.337049560546875,0.126446586608887,15,7850.39343644156,15.0068560847847,0,7850.39343644148,0
