"TerrID","FemID","MaleID","Repro","Npups","hs_8km","nterr_50km","area_buffer50km","densTerr_50km","Delta_bfem","sYear","nyears"
25,14,26,NA,0,0.565866455078125,9,3734.87512180193,18.925889728722,1,2011,6
24,6,9,1,7,0.408742980957031,10,5529.38234958331,14.2040849003078,4,2011,4
93,7,10,1,6,0.475352569580078,11,6527.18008509716,13.2360064909153,4,2011,4
131,1,4,1,5,0.280007720947266,11,7345.36614639316,11.761673448524,3,2011,3
76,9,21,1,3,0.392434112548828,6,7799.78600162439,6.04169009175801,1,2011,1
137,10,8,1,6,0.368324401855469,11,6144.74491500898,14.0597859095333,1,2011,1
105,8,15,1,4,0.366459228515625,9,4116.99043152853,17.1692977871524,1,2011,1
3,4,95,1,7,0.49881689453125,3,7850.39343644156,3.00137121695695,3,2011,3
165,41,5,NA,0,0.433695129394531,10,4626.76520502006,16.9751030924432,5,2012,5
155,53,13,1,5,0.336645263671875,11,7283.84186159037,11.8610205459425,2,2012,4
68,47,NA,NA,0,0.409996978759766,5,7850.39343644149,5.00228536159496,3,2012,3
82,76,80,1,5,0.4084814453125,5,7850.3934364415,5.00228536159495,2,2012,2
132,45,45,1,5,0.29081005859375,7,7746.12749326236,7.09746534454043,1,2012,1
135,54,99,1,3,0.354071502685547,4,7850.39343644157,4.00182828927592,1,2012,1
51,81,110,1,5,0.462130828857422,5,7850.39343644162,5.00228536159488,1,2012,1
106,12,28,1,4,0.522211059570313,9,4955.94343934237,14.2628412876217,1,2012,8
25,14,26,1,1,0.565866455078125,8,3734.87512180193,16.8230130921973,2,2012,7
24,32,35,1,6,0.408742980957031,10,5529.38234958331,14.2040849003078,1,2012,5
93,7,14,1,9,0.475352569580078,12,6527.18008509716,14.4392798082713,5,2012,5
76,9,21,1,3,0.392434112548828,7,7799.78600162439,7.04863844038435,2,2012,2
137,10,8,1,5,0.368324401855469,12,6144.74491500898,15.3379482649454,2,2012,2
105,8,15,1,5,0.366459228515625,9,4116.99043152853,17.1692977871524,2,2012,2
65,13,118,1,1,0.247864135742187,7,5884.63627980333,9.34261164560179,1,2012,1
97,86,101,1,3,0.448219970703125,1,7850.39343644161,1.00045707231898,1,2012,1
3,4,95,1,6,0.49881689453125,4,7850.39343644156,4.00182828927593,4,2012,4
84,46,75,NA,0,0.475745300292969,6,6666.39828349849,7.06886804535725,2,2012,2
82,76,80,1,4,0.4084814453125,5,7850.3934364415,5.00228536159495,3,2013,3
84,15,61,1,4,0.475745300292969,8,6666.39828349849,9.42515739380967,1,2013,3
135,54,99,1,6,0.354071502685547,6,7850.39343644157,6.00274243391389,2,2013,2
51,81,110,1,3,0.462130828857422,6,7850.39343644162,6.00274243391385,2,2013,2
8,80,111,1,1,0.368691131591797,10,7850.39343644141,10.00457072319,1,2013,1
143,64,113,1,2,0.362009338378906,11,5258.15761440533,16.4304313999705,1,2013,1
1,94,32,1,3,0.322167572021484,11,7717.34502993915,11.1947564400137,1,2013,1
41,112,45,0,0,0.468784027099609,8,7850.3934364417,8.00365657855172,1,2013,1
106,12,28,1,5,0.522211059570313,11,4955.94343934237,17.4323615737599,2,2013,9
25,14,26,1,7,0.565866455078125,9,3734.87512180193,18.925889728722,3,2013,8
